Nome do Autor1;Nome do Autor2;Ano;Título da Produção;Subtipo da Produção;Linha de Pesquisa;Categoria
SUELY ALDIR MESSEDER;SUELY ALDIR MESSEDER;2013;A MATERNIDADE NAS MULHERES MASCULINIZADAS LÉSBICAS A BUSCA DA PROTEÇÃO JURÍDICA;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
HERNANE BORGES DE BARROS PEREIRA;INACIO DE SOUSA FADIGAS;2013;A NETWORK APPROACH BASED ON CLIQUES;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
AUGUSTO CESAR NORONHA RODRIGUES GALEAO;AUGUSTO CESAR NORONHA RODRIGUES GALEAO;2013;A NEW THEORY FOR ANOMALOUS DIFFUSION WITH A BIMODAL FLUX DISTRIBUTION;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
HUGO SABA PEREIRA CARDOSO;HUGO SABA PEREIRA CARDOSO;2013;A ROBÓTICA EMPREGADA COMO APOIO AO TRATAMENTO DE CRIANÇAS COM PARALISIA CEREBRAL;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
FELIX MARCIAL DIAZ RODRIGUEZ;PEDRO JAVIER GOMEZ JAIME;2013;A SENSIBILIDADE MUSICAL DESDE UMA ÓTICA EPISTEMOLÓGICA CONSIDERAÇÕES SOBRE OS ASPECTOS FÍSICOS ENVOLVIDOS;ARTIGO EM JORNAL OU REVISTA;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
FELIX MARCIAL DIAZ RODRIGUEZ;FELIX MARCIAL DIAZ RODRIGUEZ;2013;A SENSIBILIDADE MUSICAL DESDE UMA ÓTICA EPISTEMOLÓGICA CONSIDERAÇÕES SOBRE OS ASPECTOS FÍSICOS ENVOLVIDOS.;ARTIGO EM JORNAL OU REVISTA;;Docente
ZULEIDE PAIVA DA SILVA;ZULEIDE PAIVA DA SILVA;2013;A TEORIA POLÍTICA DE MONIQUE WITTIG REVISITADA;ARTIGO EM PERIÓDICO;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
FELIPE RODRIGUES BOMFIM;FELIPE RODRIGUES BOMFIM;2013;ABORDAGEM TEÓRICA SOBRE POLÍTICAS CULTURAIS VERSUS O CONTEXTO DA ELABORAÇÃO DO PLANO TERRITORIAL DE DESENVOLVIMENTO SUSTENTÁVEL DO RECÔNCAVO BAIANO E SEUS REBATIMENTOS NAS ESCALAS LOCAL E REGIONAL;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
EDUARDO DAVID DE OLIVEIRA;MARIEL EVA CISNEROS LOPEZ;2013;ABRIENDO LA TRANQUERA  TRANSFERENCIAS SOCIOCULTURALES EN LAS FIESTAS CRIOLLAS DEL MEDIO RURAL.;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
ROSANGELA COSTA ARAUJO;ROSANGELA COSTA ARAUJO;2013;ABRINDO A RODA CONHECIMENTOS QUE GINGAM;ARTIGO EM PERIÓDICO;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
CLAUDIA PINTO PEREIRA SENA;CLAUDIA PINTO PEREIRA SENA;2013;ADAPTABILIDADE DA INTERFACE DO APLICATIVO WEB PBL-VS PARA USO POR PESSOAS COM DEFICIÊNCIA VISUAL;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
FABIHANA SOUZA MENDES;FABIHANA SOUZA MENDES;2013;ALTERNATIVAS PARA O DESENVOLVIMENTO DA LAVOURA DO SISAL NO ESTADO DA BAHIA/ BRASIL;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
DANTE AUGUSTO GALEFFI;DANTE AUGUSTO GALEFFI;2013;ALUNO - O QUE NÃO TEM LUZ OU A CRIANÇA DE PEITO? UMA CONTROVÉRSIA FORMATIVA CURIOSA E DIVERTIDA AO MODO DOS FILÓLOGOS INVENTORES;LIVRO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
CLAUDIA PINTO PEREIRA SENA;CLAUDIA PINTO PEREIRA SENA;2013;AMBIENTE VIRTUAL DE APRENDIZAGEM DE ALGORITMOS (AVAA) A CONSTRUÇÃO DE UMA FERRAMENTA NO PROCESSO ENSINO-APRENDIZAGEM;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
EDUARDO DAVID DE OLIVEIRA;ELMARA PEREIRA DE SOUZA;2013;AMBIENTE VIRTUAL DE APRENDIZAGEM DISPOSITIVO DE PRODUÇÃO DE SUBJETIVIDADE;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
GILDECI DE OLIVEIRA LEITE;GILDECI DE OLIVEIRA LEITE;2013;AMOR NO ANO NOVO HOJE E SEMPRE;ARTIGO EM JORNAL OU REVISTA;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
ANA AUREA ALECIO DE OLIVEIRA RODRIGUES;CLAUDIA RIBEIRO SANTOS LOPES;2013;ANÁLISE COGNITIVA DA DIFUSÃO DE CONHECIMENTO EM HUMANIZAÇÃO NA SAÚDE UMA ESTRATÉGIA A PARTIR DAS REDES SEMÂNTICAS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
ANA AUREA ALECIO DE OLIVEIRA RODRIGUES;HERNANE BORGES DE BARROS PEREIRA;2013;ANÁLISE COGNITIVA DA DIFUSÃO DE CONHECIMENTO EM HUMANIZAÇÃO NA SAÚDE UMA ESTRATÉGIA A PARTIR DAS REDES SEMÂNTICAS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
CLAUDIA RIBEIRO SANTOS LOPES;HERNANE BORGES DE BARROS PEREIRA;2013;ANÁLISE COGNITIVA DA DIFUSÃO DE CONHECIMENTO EM HUMANIZAÇÃO NA SAÚDE UMA ESTRATÉGIA A PARTIR DAS REDES SEMÂNTICAS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
TERESINHA FROES BURNHAM;TERESINHA FROES BURNHAM;2013;ANÁLISE COGNITIVA EM TAPEÇARIA COLETIVA CONTRIBUTO À INSTITUIÇÃO DE UM CAMPO DO CONHECIMENTO;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
JOSEMAR RODRIGUES DE SOUZA;JOSEMAR RODRIGUES DE SOUZA;2013;ANÁLISE DE DESEMPENHO E EFICIÊNCIA DE UM CLUSTER DE COMPUTADORES E INTERCONEXÃO DE REDES UTILIZANDO BIBLIOTECAS MATEMÁTICAS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
HERNANE BORGES DE BARROS PEREIRA;MARCOS GRILO ROSA;2013;ANÁLISE DE REDES DE COAUTORIA POR MEIO DE REDES SEMÂNTICAS UNIFORMES;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
GUSTAVO BITTENCOURT MACHADO;GUSTAVO BITTENCOURT MACHADO;2013;ANÁLISE ECONÔMICA DOS SISTEMAS DE PRODUÇÃO DE CAPRINOCULTORES DE LEITE NO SEMIÁRIDO DA BAHIA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
DANTE AUGUSTO GALEFFI;DANTE AUGUSTO GALEFFI;2013;ANTICONCEPÇÃO DE ENSINO DE FILOSOFIA O FAZER-APRENDER A FILOSOFAR;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
JOSEMAR RODRIGUES DE SOUZA;JOSEMAR RODRIGUES DE SOUZA;2013;APCM AN AUTO-PARALLELLISM COMPUTATIONAL MODEL. INCREASING THE PERFORMANCE OF MPI APPLICATIONS IN MULTI-CORE ENVIRONMENTS;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
ELMARA PEREIRA DE SOUZA;ELMARA PEREIRA DE SOUZA;2013;APRENDER CON TECNOLOGÍAS EN LA SOCIEDAD DEL CONOCIMIENTO PROYECTO PEPE PLATAFORMA DE ENTORNOS PEDAGÓGICOS ESPECIALIZADOS;ARTIGO EM PERIÓDICO;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
ALFREDO EURICO RODRIGUES MATTA;ALFREDO EURICO RODRIGUES MATTA;2013;APRENDIZAGEM SIGNIFICATIVA ATRAVÉS DO MUSEU VIRTUAL (SIMULAÇÃO DO ANTIGO TEATRO SÃO JOÃO DA BAHIA);TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
CLAUDIA PINTO PEREIRA SENA;CLAUDIA PINTO PEREIRA SENA;2013;APRESENTANDO O BEM UM OBJETO DE APRENDIZAGEM PARA MEDIAR O PROCESSO EDUCACIONAL DE CRIANÇAS COM DEFICIÊNCIA VISUAL E VIDENTES NAS OPERAÇÕES BÁSICAS DE MATEMÁTICA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
SUELY ALDIR MESSEDER;SUELY ALDIR MESSEDER;2013;AQUILO NEM PARECE MULHER FÊMEA? A NARRATIVA DE UM CORPO ABJETO NA CONSTRUÇÃO DE LUZIA-HOMEM;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
MARIA DE FATIMA HENRIQUE CAMPOS;MARIA DE FATIMA HENRIQUE CAMPOS;2013;AS CARICATURAS DE NAIR DE TEFFÉ O ESPELHO DA BURGUESIA CARIOCA 1909-1926;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
RENATO PEIXOTO DAGNINO;RENATO PEIXOTO DAGNINO;2013;AS EMPRESAS RECUPERADAS POR TRABALHADORES NO BRASIL RESULTADOS DE UM LEVANTAMENTO NACIONAL;TRABALHO EM ANAIS;;Docente
NUBIA MOURA RIBEIRO;NUBIA MOURA RIBEIRO;2013;ASPECTOS QUÍMICOS E BIOLÓGICOS;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
JOSE CLAUDIO ROCHA;JOSE CLAUDIO ROCHA;2013;ASSOCIATIVISMO COOPERATIVISMO  E ECONOMIA SOLIDÁRIA ESTRATÉGIAS CRIATIVAS PARA UM DESENVOLVIMENTO HUMANO ECONÔMICO E SOCIAL SUSTENTÁVEL;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
NUBIA MOURA RIBEIRO;NUBIA MOURA RIBEIRO;2013;ATLAS DA CULINÁRIA NA BAÍA DE TODOS OS SANTOS;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
ROBERTO SIDNEI ALVES MACEDO;ROBERTO SIDNEI ALVES MACEDO;2013;ATOS DE CURRÍCULO COMO CURRÍCULO EM ESTADO DE FLUXO;LIVRO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
ROBERTO SIDNEI ALVES MACEDO;ROBERTO SIDNEI ALVES MACEDO;2013;ATOS DE CURRÍCULO E AUTONOMIA PEDAGÓGICA O SOCIOCONSTRUCIONISMO CURRICULAR EM PERSPECTIVA.;LIVRO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
ROBERTO SIDNEI ALVES MACEDO;ROBERTO SIDNEI ALVES MACEDO;2013;ATOS DE CURRÍCULOUMA INCESSANTE ATIVIDADE ETNOMETÓDICA E FONTE DE ANÁLISE DE PRÁTICAS CURRICULARES;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
JOSEMAR RODRIGUES DE SOUZA;JOSEMAR RODRIGUES DE SOUZA;2013;AVALIAÇÃO DE DESEMPENHO DO CLUSTER GABI;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
GILDECI DE OLIVEIRA LEITE;GILDECI DE OLIVEIRA LEITE;2013;AXÉ E ECOLOGIA;ARTIGO EM JORNAL OU REVISTA;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
JOSEMAR RODRIGUES DE SOUZA;JOSEMAR RODRIGUES DE SOUZA;2013;BAHIA RT - TEAM DESCRIPTION FOR IEEE OPEN LEAGUE 2013;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
GILDECI DE OLIVEIRA LEITE;GILDECI DE OLIVEIRA LEITE;2013;CAROÇOS DE DENDÊ NO MEIO DO CAMINHO;ARTIGO EM JORNAL OU REVISTA;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
JOSE CLAUDIO ROCHA;JOSE CLAUDIO ROCHA;2013;CENTRO DE REFERENCIA EM DIREITOS HUMANOS;PATENTE;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
GILDECI DE OLIVEIRA LEITE;GILDECI DE OLIVEIRA LEITE;2013;CHAPADA DIAMANTINA ENTRE O LIXÕES E OS SONHOS DO ATERRO SANITÁRIO E DA COLETA SELETIVA;ARTIGO EM JORNAL OU REVISTA;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
JOSE CLAUDIO ROCHA;JOSE CLAUDIO ROCHA;2013;CIÊNCIA E ÉTICA NO SÉCULO XXI;ARTIGO EM PERIÓDICO;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
JOSE CLAUDIO ROCHA;JOSE CLAUDIO ROCHA;2013;COMO PROMOVER A DIMENSÃO ÉTICA NA GESTÃO DAS INSTITUIÇÕES;ARTIGO EM PERIÓDICO;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
RENELSON RIBEIRO SAMPAIO;RENELSON RIBEIRO SAMPAIO;2013;COMPARTILHANDO SABERES;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
ANA MARIA CASNATI GUBERNA;ANA MARIA CASNATI GUBERNA;2013;COMPLEXIDADE NAS RELAÇÕES DE COOPERAÇÃO E COLABORAÇÃO EM PROGRAMAS DE DESENVOLVIMENTO LOCAL;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
GILBERTO WILDBERGER DE ALMEIDA;GILBERTO WILDBERGER DE ALMEIDA;2013;CONDER FAZ 40 ANOS;ARTIGO EM JORNAL OU REVISTA;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
JAVIER COLLADO RUANO;JAVIER COLLADO RUANO;2013;CONSTELLATION OF TWINNED NGOS-SCHOOLS A SYMPHONY OF INTERPERSONAL SOLIDARITY;ARTIGO EM JORNAL OU REVISTA;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
CLAUDIO REYNALDO BARBOSA DE SOUZA;RENELSON RIBEIRO SAMPAIO;2013;CONSTRUÇÃO DO CONHECIMENTO EM ORGANIZAÇÕES NA PERSPECTIVA DAS REDES SOCIAIS;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Participante Externo
CARLA RENATA SANTOS DOS SANTOS;CARLA RENATA SANTOS DOS SANTOS;2013;COOPERATIVISMO E AGRICULTURA FAMILIAR NO SEMIÁRIDO BAIANO NOVOS CAMINHOS E DESAFIOS DA SUSTENTABILIDADE;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
HUGO SABA PEREIRA CARDOSO;HUGO SABA PEREIRA CARDOSO;2013;CORRELATION BETWEEN TRANSPORT AND OCCURRENCE OF DENGUE CASES IN BAHIA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
FRANCISCA DE PAULA S DA SILVA;FRANCISCA DE PAULA S DA SILVA;2013;CULTURA COM ARTE O LEMA DO GRUPO CULTARTE;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
MARCUS FERNANDES DA SILVA;MARCUS FERNANDES DA SILVA;2013;DCCA CROSS-CORRELATION COEFFICIENT DIFFERENTIATION THEORETICAL AND PRACTICAL APPROACHES;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
GILDECI DE OLIVEIRA LEITE;GILDECI DE OLIVEIRA LEITE;2013;DE IYÁ OBÁ BIYI A IYA ODE KAYODE REIS NASCIDOS PARA ALEGRIAS;ARTIGO EM JORNAL OU REVISTA;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
JOSE CLAUDIO ROCHA;JOSE CLAUDIO ROCHA;2013;DEMOCRATIZAÇÃO DO ACESSO À CULTURA POR MEIO DAS NOVAS TECNOLOGIAS X RESPEITO AOS DIREITOS AUTORAIS UM CONFLITO PRINCIPIOLOGICO LATENTE;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
JAVIER COLLADO RUANO;JAVIER COLLADO RUANO;2013;DERECHOS HUMANOS DEL PRINCIPIO ANTRÓPICO COSMOLÓGICO A LA REVOLUCIÓN MOLECULAR DE LA CONSCIENCIA CUÁNTICA;ARTIGO EM JORNAL OU REVISTA;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
ROBERTO LEON INACIO PONCZEK;ROBERTO LEON INACIO PONCZEK;2013;DEUS OU SEJA A NATUREZA SPINOZA E OS NOVOS PARADIGMAS DA FÍSICA;LIVRO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
ZULEIDE PAIVA DA SILVA;ZULEIDE PAIVA DA SILVA;2013;DIADORIM UNEB EM MOVIMENTO UM DIÁLOGO COM A LIGA BRASILEIRA DE LÉSBICAS DA BAHIA;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
