No;Ano;Título da Produção;Nome do Autor;Subtipo da Produção;Linha de Pesquisa;Categoria
277;2013;A MATERNIDADE NAS MULHERES MASCULINIZADAS LÉSBICAS A BUSCA DA PROTEÇÃO JURÍDICA;SUELY ALDIR MESSEDER;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
21;2013;A NETWORK APPROACH BASED ON CLIQUES;HERNANE BORGES DE BARROS PEREIRA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
25;2013;A NETWORK APPROACH BASED ON CLIQUES;INACIO DE SOUSA FADIGAS;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Participante Externo
29;2013;A NEW THEORY FOR ANOMALOUS DIFFUSION WITH A BIMODAL FLUX DISTRIBUTION;AUGUSTO CESAR NORONHA RODRIGUES GALEAO;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
137;2013;A ROBÓTICA EMPREGADA COMO APOIO AO TRATAMENTO DE CRIANÇAS COM PARALISIA CEREBRAL;HUGO SABA PEREIRA CARDOSO;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
79;2013;A SENSIBILIDADE MUSICAL DESDE UMA ÓTICA EPISTEMOLÓGICA CONSIDERAÇÕES SOBRE OS ASPECTOS FÍSICOS ENVOLVIDOS;FELIX MARCIAL DIAZ RODRIGUEZ;ARTIGO EM JORNAL OU REVISTA;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
80;2013;A SENSIBILIDADE MUSICAL DESDE UMA ÓTICA EPISTEMOLÓGICA CONSIDERAÇÕES SOBRE OS ASPECTOS FÍSICOS ENVOLVIDOS;FELIX MARCIAL DIAZ RODRIGUEZ;ARTIGO EM JORNAL OU REVISTA;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
240;2013;A SENSIBILIDADE MUSICAL DESDE UMA ÓTICA EPISTEMOLÓGICA CONSIDERAÇÕES SOBRE OS ASPECTOS FÍSICOS ENVOLVIDOS;PEDRO JAVIER GOMEZ JAIME;ARTIGO EM JORNAL OU REVISTA;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
81;2013;A SENSIBILIDADE MUSICAL DESDE UMA ÓTICA EPISTEMOLÓGICA CONSIDERAÇÕES SOBRE OS ASPECTOS FÍSICOS ENVOLVIDOS.;FELIX MARCIAL DIAZ RODRIGUEZ;ARTIGO EM JORNAL OU REVISTA;;Docente
31;2013;A TEORIA POLÍTICA DE MONIQUE WITTIG REVISITADA;ZULEIDE PAIVA DA SILVA;ARTIGO EM PERIÓDICO;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
76;2013;ABORDAGEM TEÓRICA SOBRE POLÍTICAS CULTURAIS VERSUS O CONTEXTO DA ELABORAÇÃO DO PLANO TERRITORIAL DE DESENVOLVIMENTO SUSTENTÁVEL DO RECÔNCAVO BAIANO E SEUS REBATIMENTOS NAS ESCALAS LOCAL E REGIONAL;FELIPE RODRIGUES BOMFIM;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
53;2013;ABRIENDO LA TRANQUERA  TRANSFERENCIAS SOCIOCULTURALES EN LAS FIESTAS CRIOLLAS DEL MEDIO RURAL.;EDUARDO DAVID DE OLIVEIRA;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
233;2013;ABRIENDO LA TRANQUERA  TRANSFERENCIAS SOCIOCULTURALES EN LAS FIESTAS CRIOLLAS DEL MEDIO RURAL.;MARIEL EVA CISNEROS LOPEZ;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
43;2013;ABRINDO A RODA CONHECIMENTOS QUE GINGAM;ROSANGELA COSTA ARAUJO;ARTIGO EM PERIÓDICO;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
28;2013;ADAPTABILIDADE DA INTERFACE DO APLICATIVO WEB PBL-VS PARA USO POR PESSOAS COM DEFICIÊNCIA VISUAL;CLAUDIA PINTO PEREIRA SENA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
73;2013;ALTERNATIVAS PARA O DESENVOLVIMENTO DA LAVOURA DO SISAL NO ESTADO DA BAHIA/ BRASIL;FABIHANA SOUZA MENDES;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
42;2013;ALUNO - O QUE NÃO TEM LUZ OU A CRIANÇA DE PEITO? UMA CONTROVÉRSIA FORMATIVA CURIOSA E DIVERTIDA AO MODO DOS FILÓLOGOS INVENTORES;DANTE AUGUSTO GALEFFI;LIVRO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
44;2013;AMBIENTE VIRTUAL DE APRENDIZAGEM DE ALGORITMOS (AVAA) A CONSTRUÇÃO DE UMA FERRAMENTA NO PROCESSO ENSINO-APRENDIZAGEM;CLAUDIA PINTO PEREIRA SENA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
54;2013;AMBIENTE VIRTUAL DE APRENDIZAGEM DISPOSITIVO DE PRODUÇÃO DE SUBJETIVIDADE;EDUARDO DAVID DE OLIVEIRA;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
59;2013;AMBIENTE VIRTUAL DE APRENDIZAGEM DISPOSITIVO DE PRODUÇÃO DE SUBJETIVIDADE;ELMARA PEREIRA DE SOUZA;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
101;2013;AMOR NO ANO NOVO HOJE E SEMPRE;GILDECI DE OLIVEIRA LEITE;ARTIGO EM JORNAL OU REVISTA;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
5;2013;ANÁLISE COGNITIVA DA DIFUSÃO DE CONHECIMENTO EM HUMANIZAÇÃO NA SAÚDE UMA ESTRATÉGIA A PARTIR DAS REDES SEMÂNTICAS;ANA AUREA ALECIO DE OLIVEIRA RODRIGUES;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
35;2013;ANÁLISE COGNITIVA DA DIFUSÃO DE CONHECIMENTO EM HUMANIZAÇÃO NA SAÚDE UMA ESTRATÉGIA A PARTIR DAS REDES SEMÂNTICAS;CLAUDIA RIBEIRO SANTOS LOPES;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
125;2013;ANÁLISE COGNITIVA DA DIFUSÃO DE CONHECIMENTO EM HUMANIZAÇÃO NA SAÚDE UMA ESTRATÉGIA A PARTIR DAS REDES SEMÂNTICAS;HERNANE BORGES DE BARROS PEREIRA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
287;2013;ANÁLISE COGNITIVA EM TAPEÇARIA COLETIVA CONTRIBUTO À INSTITUIÇÃO DE UM CAMPO DO CONHECIMENTO;TERESINHA FROES BURNHAM;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
189;2013;ANÁLISE DE DESEMPENHO E EFICIÊNCIA DE UM CLUSTER DE COMPUTADORES E INTERCONEXÃO DE REDES UTILIZANDO BIBLIOTECAS MATEMÁTICAS;JOSEMAR RODRIGUES DE SOUZA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
126;2013;ANÁLISE DE REDES DE COAUTORIA POR MEIO DE REDES SEMÂNTICAS UNIFORMES;HERNANE BORGES DE BARROS PEREIRA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
219;2013;ANÁLISE DE REDES DE COAUTORIA POR MEIO DE REDES SEMÂNTICAS UNIFORMES;MARCOS GRILO ROSA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
115;2013;ANÁLISE ECONÔMICA DOS SISTEMAS DE PRODUÇÃO DE CAPRINOCULTORES DE LEITE NO SEMIÁRIDO DA BAHIA;GUSTAVO BITTENCOURT MACHADO;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
46;2013;ANTICONCEPÇÃO DE ENSINO DE FILOSOFIA O FAZER-APRENDER A FILOSOFAR;DANTE AUGUSTO GALEFFI;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
48;2013;APCM AN AUTO-PARALLELLISM COMPUTATIONAL MODEL. INCREASING THE PERFORMANCE OF MPI APPLICATIONS IN MULTI-CORE ENVIRONMENTS;JOSEMAR RODRIGUES DE SOUZA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
49;2013;APRENDER CON TECNOLOGÍAS EN LA SOCIEDAD DEL CONOCIMIENTO PROYECTO PEPE PLATAFORMA DE ENTORNOS PEDAGÓGICOS ESPECIALIZADOS;ELMARA PEREIRA DE SOUZA;ARTIGO EM PERIÓDICO;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
1;2013;APRENDIZAGEM SIGNIFICATIVA ATRAVÉS DO MUSEU VIRTUAL (SIMULAÇÃO DO ANTIGO TEATRO SÃO JOÃO DA BAHIA);ALFREDO EURICO RODRIGUES MATTA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
30;2013;APRESENTANDO O BEM UM OBJETO DE APRENDIZAGEM PARA MEDIAR O PROCESSO EDUCACIONAL DE CRIANÇAS COM DEFICIÊNCIA VISUAL E VIDENTES NAS OPERAÇÕES BÁSICAS DE MATEMÁTICA;CLAUDIA PINTO PEREIRA SENA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
56;2013;AQUILO NEM PARECE MULHER FÊMEA? A NARRATIVA DE UM CORPO ABJETO NA CONSTRUÇÃO DE LUZIA-HOMEM;SUELY ALDIR MESSEDER;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
225;2013;AS CARICATURAS DE NAIR DE TEFFÉ O ESPELHO DA BURGUESIA CARIOCA 1909-1926;MARIA DE FATIMA HENRIQUE CAMPOS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
243;2013;AS EMPRESAS RECUPERADAS POR TRABALHADORES NO BRASIL RESULTADOS DE UM LEVANTAMENTO NACIONAL;RENATO PEIXOTO DAGNINO;TRABALHO EM ANAIS;;Docente
235;2013;ASPECTOS QUÍMICOS E BIOLÓGICOS;NUBIA MOURA RIBEIRO;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
162;2013;ASSOCIATIVISMO COOPERATIVISMO  E ECONOMIA SOLIDÁRIA ESTRATÉGIAS CRIATIVAS PARA UM DESENVOLVIMENTO HUMANO ECONÔMICO E SOCIAL SUSTENTÁVEL;JOSE CLAUDIO ROCHA;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
236;2013;ATLAS DA CULINÁRIA NA BAÍA DE TODOS OS SANTOS;NUBIA MOURA RIBEIRO;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
264;2013;ATOS DE CURRÍCULO COMO CURRÍCULO EM ESTADO DE FLUXO;ROBERTO SIDNEI ALVES MACEDO;LIVRO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
265;2013;ATOS DE CURRÍCULO E AUTONOMIA PEDAGÓGICA O SOCIOCONSTRUCIONISMO CURRICULAR EM PERSPECTIVA.;ROBERTO SIDNEI ALVES MACEDO;LIVRO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
60;2013;ATOS DE CURRÍCULOUMA INCESSANTE ATIVIDADE ETNOMETÓDICA E FONTE DE ANÁLISE DE PRÁTICAS CURRICULARES;ROBERTO SIDNEI ALVES MACEDO;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
191;2013;AVALIAÇÃO DE DESEMPENHO DO CLUSTER GABI;JOSEMAR RODRIGUES DE SOUZA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
102;2013;AXÉ E ECOLOGIA;GILDECI DE OLIVEIRA LEITE;ARTIGO EM JORNAL OU REVISTA;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
192;2013;BAHIA RT - TEAM DESCRIPTION FOR IEEE OPEN LEAGUE 2013;JOSEMAR RODRIGUES DE SOUZA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
103;2013;CAROÇOS DE DENDÊ NO MEIO DO CAMINHO;GILDECI DE OLIVEIRA LEITE;ARTIGO EM JORNAL OU REVISTA;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
163;2013;CENTRO DE REFERENCIA EM DIREITOS HUMANOS;JOSE CLAUDIO ROCHA;PATENTE;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
104;2013;CHAPADA DIAMANTINA ENTRE O LIXÕES E OS SONHOS DO ATERRO SANITÁRIO E DA COLETA SELETIVA;GILDECI DE OLIVEIRA LEITE;ARTIGO EM JORNAL OU REVISTA;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
61;2013;CIÊNCIA E ÉTICA NO SÉCULO XXI;JOSE CLAUDIO ROCHA;ARTIGO EM PERIÓDICO;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
71;2013;COMO PROMOVER A DIMENSÃO ÉTICA NA GESTÃO DAS INSTITUIÇÕES;JOSE CLAUDIO ROCHA;ARTIGO EM PERIÓDICO;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
246;2013;COMPARTILHANDO SABERES;RENELSON RIBEIRO SAMPAIO;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
90;2013;COMPLEXIDADE NAS RELAÇÕES DE COOPERAÇÃO E COLABORAÇÃO EM PROGRAMAS DE DESENVOLVIMENTO LOCAL;ANA MARIA CASNATI GUBERNA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
93;2013;CONDER FAZ 40 ANOS;GILBERTO WILDBERGER DE ALMEIDA;ARTIGO EM JORNAL OU REVISTA;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
150;2013;CONSTELLATION OF TWINNED NGOS-SCHOOLS A SYMPHONY OF INTERPERSONAL SOLIDARITY;JAVIER COLLADO RUANO;ARTIGO EM JORNAL OU REVISTA;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
38;2013;CONSTRUÇÃO DO CONHECIMENTO EM ORGANIZAÇÕES NA PERSPECTIVA DAS REDES SOCIAIS;CLAUDIO REYNALDO BARBOSA DE SOUZA;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Participante Externo
247;2013;CONSTRUÇÃO DO CONHECIMENTO EM ORGANIZAÇÕES NA PERSPECTIVA DAS REDES SOCIAIS;RENELSON RIBEIRO SAMPAIO;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
92;2013;COOPERATIVISMO E AGRICULTURA FAMILIAR NO SEMIÁRIDO BAIANO NOVOS CAMINHOS E DESAFIOS DA SUSTENTABILIDADE;CARLA RENATA SANTOS DOS SANTOS;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
138;2013;CORRELATION BETWEEN TRANSPORT AND OCCURRENCE OF DENGUE CASES IN BAHIA;HUGO SABA PEREIRA CARDOSO;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
86;2013;CULTURA COM ARTE O LEMA DO GRUPO CULTARTE;FRANCISCA DE PAULA S DA SILVA;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
94;2013;DCCA CROSS-CORRELATION COEFFICIENT DIFFERENTIATION THEORETICAL AND PRACTICAL APPROACHES;MARCUS FERNANDES DA SILVA;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
105;2013;DE IYÁ OBÁ BIYI A IYA ODE KAYODE REIS NASCIDOS PARA ALEGRIAS;GILDECI DE OLIVEIRA LEITE;ARTIGO EM JORNAL OU REVISTA;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
166;2013;DEMOCRATIZAÇÃO DO ACESSO À CULTURA POR MEIO DAS NOVAS TECNOLOGIAS X RESPEITO AOS DIREITOS AUTORAIS UM CONFLITO PRINCIPIOLOGICO LATENTE;JOSE CLAUDIO ROCHA;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
151;2013;DERECHOS HUMANOS DEL PRINCIPIO ANTRÓPICO COSMOLÓGICO A LA REVOLUCIÓN MOLECULAR DE LA CONSCIENCIA CUÁNTICA;JAVIER COLLADO RUANO;ARTIGO EM JORNAL OU REVISTA;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
260;2013;DEUS OU SEJA A NATUREZA SPINOZA E OS NOVOS PARADIGMAS DA FÍSICA;ROBERTO LEON INACIO PONCZEK;LIVRO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
295;2013;DIADORIM UNEB EM MOVIMENTO UM DIÁLOGO COM A LIGA BRASILEIRA DE LÉSBICAS DA BAHIA;ZULEIDE PAIVA DA SILVA;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
66;2013;DIFUSÃO DA TECNOLOGIA BIM POR PESQUISADORES BRASILEIROS;ERICA DE SOUSA CHECCUCCI;LIVRO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
